    #,   Gonio_Y, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0, -1.01345997,        1,    54745,   1.0000,    58224,    57234,     0000, 1.8266508e-05,        0,        0,        2,   101393,   100938,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1, -0.963167969,        0,    54669,   1.0000,    58296,    57332,     0000,        0,        0,        0,        1,   101519,   101078,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2, -0.914399971,        0,    54671,   1.0000,    58313,    57272,     0000,        0,        0,        0,        0,   101627,   101087,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3, -0.864107972,        1,    54645,   1.0000,    58270,    57241,     0000, 1.8299936e-05,        0,        0,        1,   101566,   101062,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4, -0.813815974,        0,    54586,   1.0000,    58204,    57203,     0000,        0,        0,        0,        1,   101366,   100984,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5, -0.763523976,        0,    54592,   1.0000,    58219,    57322,     0000,        0,        0,        0,        1,   101293,   100995,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6, -0.713231977,        0,    54580,   1.0000,    58208,    57139,     0000,        0,        0,        0,        0,   101359,   101045,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7, -0.664463979,        0,    54573,   1.0000,    58210,    57255,     0000,        0,        0,        0,        0,   101360,   101044,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8, -0.61417198,        0,    54545,   1.0000,    58185,    57159,     0000,        0,        0,        0,        0,   101170,   100977,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9, -0.563879982,        0,    54539,   1.0000,    58187,    57227,     0000,        0,        0,        0,        1,   101173,   101003,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
