    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0,         3,        1,   215694,   2.0000,   229996,      183,     0000, 4.6361976e-06,        0,        0,        1,   201351,   200497,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1,     4.005,        1,   223131,   2.0727,   238152,      188,     0000, 4.4816722e-06,        0,        0,        3,   208424,   207825,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2,      5.01,        0,   231066,   2.1455,   246584,      195,     0000,        0,        0,        0,        3,   215862,   215220,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3,     6.015,        1,   238864,   2.2182,   254940,      202,     0000, 4.1864827e-06,        0,        0,        4,   223346,   222324,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4,      7.02,        2,   246699,   2.2909,   263263,      210,     0000, 8.1070454e-06,        0,        0,        4,   230723,   229542,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5,     8.025,        1,   254311,   2.3636,   271351,      217,     0000, 3.9321933e-06,        0,        0,        3,   237708,   236796,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6,      9.03,        1,   262318,   2.4364,   279954,      225,     0000, 3.8121669e-06,        0,        0,        1,   245456,   244020,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7,    10.035,        3,   270208,   2.5091,   288380,      229,     0000, 1.1102558e-05,        0,        0,        5,   252745,   251481,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8,     11.04,        0,   277880,   2.5818,   296604,      237,     0000,        0,        0,        0,        0,   259586,   258949,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9,    12.045,        1,   285459,   2.6545,   304720,      243,     0000, 3.50313e-06,        0,        0,        2,   266768,   265699,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
