    #,   Gonio_Y, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0, -1.01345997,        0,    57899,   1.0000,    61705,    60693,     0000,        0,        0,        0,        1,   106238,   105882,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1, -0.963167969,        0,    57728,   1.0000,    61688,    60701,     0000,        0,        0,        0,        1,   106112,   105909,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2, -0.914399971,        0,    57652,   1.0000,    61622,    60664,     0000,        0,        0,        0,        0,   106135,   105736,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3, -0.864107972,        0,    57628,   1.0000,    61598,    60631,     0000,        0,        0,        0,        1,   106028,   105693,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4, -0.813815974,        0,    57599,   1.0000,    61576,    60654,     0000,        0,        0,        0,        1,   105831,   105710,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5, -0.763523976,        0,    57589,   1.0000,    61554,    60592,     0000,        0,        0,        0,        0,   105791,   105752,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6, -0.713231977,        0,    57584,   1.0000,    61543,    60509,     0000,        0,        0,        0,        0,   105886,   105714,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7, -0.664463979,        0,    57522,   1.0000,    61478,    60593,     0000,        0,        0,        0,        2,   105880,   105514,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8, -0.61417198,        1,    57591,   1.0000,    61546,    60641,     0000, 1.7363824e-05,        0,        0,        3,   105903,   105653,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9, -0.563879982,        0,    57643,   1.0000,    61609,    60738,     0000,        0,        0,        0,        1,   105986,   105701,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
