    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0,         3,        0,   224892,   2.0000,   240023,      186,     0000,        0,        0,        0,        2,   210111,   209276,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1,     4.005,        0,   232852,   2.0727,   248694,      192,     0000,        0,        0,        0,        2,   217616,   216819,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2,      5.01,        2,   241412,   2.1455,   257810,      199,     0000, 8.2845923e-06,        0,        0,        4,   225532,   224662,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3,     6.015,        0,   249606,   2.2182,   266553,      206,     0000,        0,        0,        0,        3,   233190,   232006,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4,      7.02,        0,   257484,   2.2909,   275003,      215,     0000,        0,        0,        0,        2,   240511,   239178,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5,     8.025,        0,   265698,   2.3636,   283765,      223,     0000,        0,        0,        0,        2,   248047,   246623,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6,      9.03,        0,   273876,   2.4364,   292522,      229,     0000,        0,        0,        0,        4,   255549,   254164,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7,    10.035,        1,   282113,   2.5091,   301349,      233,     0000, 3.5446789e-06,        0,        0,        3,   262869,   262033,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8,     11.04,        0,   290109,   2.5818,   309859,      242,     0000,        0,        0,        0,        2,   270137,   269351,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9,    12.045,        2,   298445,   2.6545,   318763,      249,     0000, 6.7014023e-06,        0,        0,        5,   277805,   276981,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   10,     13.05,        0,   306392,   2.7273,   327224,      255,     0000,        0,        0,        0,        1,   285103,   284448,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   11,    14.055,        1,   314638,   2.8000,   336109,      262,     0000, 3.1782556e-06,        0,        0,        2,   293037,   291805,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   12,     15.06,        0,   322639,   2.8727,   344665,      270,     0000,        0,        0,        0,        2,   300375,   299513,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   13,    16.065,        2,   331002,   2.9455,   353569,      276,     0000, 6.0422596e-06,        0,        0,        3,   308324,   307220,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   14,     17.07,        2,   338704,   3.0182,   361759,      283,     0000, 5.9048609e-06,        0,        0,        4,   315628,   314313,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   15,    18.075,        2,   346874,   3.0909,   370442,      290,     0000, 5.7657824e-06,        0,        0,        4,   323300,   322030,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   16,     19.08,        0,   354659,   3.1636,   378796,      296,     0000,        0,        0,        0,        1,   330775,   329361,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   17,    20.085,        2,   363000,   3.2364,   387708,      304,     0000, 5.5096419e-06,        0,        0,        5,   338876,   337193,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   18,     21.09,        0,   371124,   3.3091,   396454,      309,     0000,        0,        0,        0,        4,   346588,   345282,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   19,    22.095,        4,   379234,   3.3818,   405040,      317,     0000, 1.0547577e-05,        0,        0,        7,   354092,   353389,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
