    #,   Gonio_Y, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0, -1.01345997,        0,    58149,   1.0000,    61974,    61041,     0000,        0,        0,        0,        0,   105868,   105529,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1, -0.963167969,        0,    57963,   1.0000,    61936,    61100,     0000,        0,        0,        0,        0,   105748,   105557,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2, -0.914399971,        0,    57993,   1.0000,    61991,    61004,     0000,        0,        0,        0,        1,   105832,   105504,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3, -0.864107972,        1,    57951,   1.0000,    61934,    61060,     0000, 1.7255958e-05,        0,        0,        1,   105779,   105458,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4, -0.813815974,        0,    57985,   1.0000,    61965,    61110,     0000,        0,        0,        0,        1,   105895,   105460,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5, -0.763523976,        0,    58015,   1.0000,    62004,    61160,     0000,        0,        0,        0,        0,   105971,   105431,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6, -0.713231977,        0,    58045,   1.0000,    62036,    61128,     0000,        0,        0,        0,        1,   105948,   105540,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7, -0.664463979,        0,    58061,   1.0000,    62054,    61116,     0000,        0,        0,        0,        0,   105816,   105652,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8, -0.61417198,        0,    58017,   1.0000,    62002,    61082,     0000,        0,        0,        0,        0,   105729,   105604,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9, -0.563879982,        1,    58003,   1.0000,    61976,    61002,     0000, 1.7240488e-05,        0,        0,        2,   105698,   105498,        0,        0,        0,        0,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
